TransectID,Distance,HuntCat,LandUse,NumHouseholds,Veg_Rich,Veg_Canopy,Veg_Understory,RA_Apes,RA_Birds,RA_Elephant,RA_Monkeys,RA_Rodent,RA_Ungulate
1,7.14,Moderate,Park,54,16.67,3.78,2.89,1.87,52.66,0.00,38.59,4.22,2.66
2,17.31,None,Park,54,15.75,3.75,3.88,0.00,52.17,0.86,28.53,6.04,12.41
2,18.32,None,Park,29,16.88,3.43,3.00,4.49,37.44,1.33,41.82,1.06,13.86
3,20.85,None,Logging,29,12.44,3.75,2.75,12.93,59.29,0.56,19.85,3.66,3.71
4,15.95,None,Park,29,17.13,3.88,3.25,0.00,52.62,1.00,41.34,2.52,2.53
5,17.47,None,Park,29,16.50,2.50,3.00,2.48,38.64,0.00,43.29,1.83,13.75
6,24.06,None,Park,29,14.75,4.00,2.38,3.78,42.66,1.11,46.25,3.10,3.10
7,19.81,None,Logging,54,13.25,4.00,2.71,6.17,33.85,0.43,49.53,1.26,8.76
8,5.78,High,Neither,25,12.63,3.00,3.25,0.00,73.06,2.20,20.02,4.37,0.34
9,5.13,High,Logging,73,16.00,3.25,3.13,0.00,85.01,0.00,5.84,6.31,2.36
13,6.61,Moderate,Logging,46,12.38,3.50,3.00,1.83,74.40,0.99,18.69,2.97,1.12
14,8.23,Moderate,Logging,56,15.75,3.57,2.86,0.46,66.56,0.52,26.66,4.54,1.27
15,2.70,High,Neither,46,10.88,3.13,3.38,0.00,85.03,0.29,9.09,3.74,1.86
16,6.10,Moderate,Logging,36,14.63,3.75,3.13,0.00,72.99,0.36,23.12,3.27,0.26
17,3.83,High,Neither,19,14.25,3.25,2.88,0.00,57.82,0.00,37.75,3.19,1.04
18,18.85,None,Logging,17,11.75,3.29,3.14,0.51,57.41,2.30,35.13,2.09,2.56
19,13.96,Moderate,Logging,54,14.88,3.43,2.43,0.00,67.25,0.36,27.71,3.64,1.04
20,6.61,Moderate,Logging,24,13.25,3.63,3.00,0.00,57.97,0.00,39.40,1.25,1.37
21,5.14,High,Neither,24,16.25,3.13,2.63,4.21,68.15,0.77,21.46,5.41,0.00
22,5.33,High,Logging,13,17.13,3.25,3.13,0.00,55.55,0.00,38.43,2.97,3.05
24,26.76,None,Park,29,16.75,3.88,2.88,4.91,31.56,0.00,54.12,1.29,8.12
25,15.02,Moderate,Logging,54,15.00,3.40,3.40,1.28,62.04,0.00,23.94,3.97,8.77
26,11.21,Moderate,Logging,73,18.75,3.38,2.88,3.92,55.03,0.00,34.95,1.92,4.17
27,2.92,High,Logging,13,12.38,3.33,3.50,0.24,68.25,0.00,25.58,4.05,1.88
