"inoculum","root_mass","leaf_mass"
"1000µm",0.195,0.256
"1000µm",0.32,0.289
"1000µm",0.15,0.161
"1000µm",0.238,0.201
"1000µm",0.338,0.29
"1000µm",0.328,0.286
"1000µm",0.208,0.15
"1000µm",0.217,0.177
"1000µm",0.172,0.1423
"1000µm",0.336,0.258
"20µm",0.342,0.305
"20µm",0.224,0.268
"20µm",0.238,0.299
"20µm",0.295,0.319
"20µm",0.339,0.355
"20µm",0.264,0.333
"20µm",0.222,0.3
"20µm",0.277,0.391
"20µm",0.3,0.29
"20µm",0.279,0.318
"5µm",0.414,0.4666
"5µm",0.246,0.285
"5µm",0.267,0.401
"5µm",0.338,0.476
"5µm",0.289,0.346
"5µm",0.388,0.382
"5µm",0.268,0.347
"5µm",0.332,0.344
"5µm",0.354,0.437
"5µm",0.382,0.652
"5µm",0.288,0.424
"5µm",0.341,0.362
"5µm",0.356,0.378
"5µm",0.425,0.423
"5µm",0.404,0.392
"5µm",0.463,0.468
"5µm",0.393,0.454
"5µm",0.444,0.385
"0.2µm",0.212,0.419
"0.2µm",0.455,0.485
"0.2µm",0.244,0.434
"0.2µm",0.325,0.424
"0.2µm",0.427,0.5355
"0.2µm",0.314,0.3856
"0.2µm",0.322,0.402
